id,nombre,email,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero,score_riesgo_oculto,split
1,User_1,user1@example.com,3402.97,18.32,NINGUNA,En observacion,0.5845794217344692,train
2,User_2,user2@example.com,2479.86,58.69,MEDIA,En observacion,0.5459793614576454,train
3,User_3,user3@example.com,1410.22,26.29,BAJA,En observacion,0.47560488464109263,val
4,User_4,user4@example.com,2621.48,38.63,NINGUNA,En observacion,0.5790182377671101,train
5,User_5,user5@example.com,3598.22,47.25,NINGUNA,En riesgo,0.618964575119207,train
6,User_6,user6@example.com,2388.54,21.38,BAJA,En observacion,0.39080968993323545,train
7,User_7,user7@example.com,3681.97,25.56,NINGUNA,En riesgo,0.6258690858456304,train
8,User_8,user8@example.com,3891.88,26.83,ALTA,Saludable,0.20330837948549327,train
9,User_9,user9@example.com,4256.88,26.0,MEDIA,En observacion,0.374555491052332,val
10,User_10,user10@example.com,2129.24,25.97,NINGUNA,En riesgo,0.719555659225447,val
11,User_11,user11@example.com,2285.82,27.0,BAJA,En observacion,0.4883644818839937,train
12,User_12,user12@example.com,5941.09,47.34,MEDIA,En observacion,0.33059238000144886,train
13,User_13,user13@example.com,3174.63,76.67,BAJA,En riesgo,0.755172673714116,test
14,User_14,user14@example.com,2628.67,46.08,MEDIA,En observacion,0.4566408515594986,train
15,User_15,user15@example.com,2065.24,19.86,ALTA,Saludable,0.12148203932315563,train
16,User_16,user16@example.com,3015.56,28.09,MEDIA,En observacion,0.41271936131094583,train
17,User_17,user17@example.com,3054.35,18.04,NINGUNA,En observacion,0.5806323816314012,val
18,User_18,user18@example.com,5197.58,24.85,NINGUNA,En observacion,0.5949541894420434,test
19,User_19,user19@example.com,1116.06,43.73,ALTA,En observacion,0.37024629797966785,train
20,User_20,user20@example.com,4805.08,22.41,MEDIA,Saludable,0.28528913120743926,val
21,User_21,user21@example.com,5584.58,12.38,MEDIA,Saludable,0.295981473789241,train
22,User_22,user22@example.com,1872.27,18.4,NINGUNA,En observacion,0.5378846062959665,train
23,User_23,user23@example.com,4808.06,47.52,BAJA,En observacion,0.5485169442164486,val
24,User_24,user24@example.com,3739.06,40.42,NINGUNA,En riesgo,0.6295266372697439,test
25,User_25,user25@example.com,4968.01,57.43,NINGUNA,En riesgo,0.732193875099666,train
26,User_26,user26@example.com,3816.76,5.0,ALTA,Saludable,0.14203087521876118,train
27,User_27,user27@example.com,1478.11,13.72,MEDIA,En observacion,0.37615001836697104,train
28,User_28,user28@example.com,3870.91,31.7,MEDIA,En observacion,0.37792606607558726,train
29,User_29,user29@example.com,3524.86,23.16,MEDIA,En observacion,0.3653144391885613,val
30,User_30,user30@example.com,1980.07,22.87,NINGUNA,En observacion,0.5907008353207732,train
31,User_31,user31@example.com,6127.37,42.52,BAJA,En observacion,0.5443611451466014,train
32,User_32,user32@example.com,5643.97,27.05,BAJA,En observacion,0.4515639341556678,train
33,User_33,user33@example.com,5803.11,55.58,ALTA,Saludable,0.3000793521977417,train
34,User_34,user34@example.com,5831.24,24.47,BAJA,En observacion,0.39439614267011164,train
35,User_35,user35@example.com,2830.6,54.11,NINGUNA,En riesgo,0.7258236164587191,train
36,User_36,user36@example.com,5568.05,35.08,NINGUNA,En observacion,0.5917297058312427,val
37,User_37,user37@example.com,3548.62,29.07,ALTA,Saludable,0.19982153217650292,train
38,User_38,user38@example.com,3271.33,32.58,BAJA,En observacion,0.5154751053407269,test
39,User_39,user39@example.com,3908.84,20.85,MEDIA,En observacion,0.3807321869329647,train
40,User_40,user40@example.com,6630.38,6.22,ALTA,Saludable,0.052344681227539165,train
41,User_41,user41@example.com,3069.97,36.54,ALTA,Saludable,0.23523759847259934,train
42,User_42,user42@example.com,3849.22,32.11,BAJA,En observacion,0.49739949211668066,train
43,User_43,user43@example.com,2419.0,40.1,MEDIA,En observacion,0.42472474250277137,val
44,User_44,user44@example.com,2892.55,52.14,ALTA,En observacion,0.36799133913433874,test
45,User_45,user45@example.com,2873.37,22.97,ALTA,Saludable,0.26869009844663394,train
46,User_46,user46@example.com,4360.86,43.8,BAJA,En riesgo,0.6348566562904989,train
47,User_47,user47@example.com,2078.02,27.6,NINGUNA,En riesgo,0.6813952554170976,val
48,User_48,user48@example.com,2636.88,36.49,NINGUNA,En riesgo,0.6395897172941901,train
49,User_49,user49@example.com,4560.4,35.14,BAJA,En observacion,0.46434553515837285,val
50,User_50,user50@example.com,2824.18,19.07,ALTA,Saludable,0.2065412465317591,train
51,User_51,user51@example.com,4622.0,44.31,ALTA,Saludable,0.2546856311568469,train
52,User_52,user52@example.com,2377.26,23.25,ALTA,Saludable,0.19394829918971623,train
53,User_53,user53@example.com,6079.36,29.65,NINGUNA,En observacion,0.5972430899266984,train
54,User_54,user54@example.com,4481.32,38.41,NINGUNA,En riesgo,0.7041773877141215,train
