id,nombre,email,password,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero,fecha_creacion,activo,split
1,User_1,user1@example.com,hash,3402.97,18.32,NINGUNA,En observacion,2025-12-01T00:00:00Z,1,train
2,User_2,user2@example.com,hash,2479.86,58.69,MEDIA,En observacion,2025-12-01T00:00:00Z,1,train
3,User_3,user3@example.com,hash,1410.22,26.29,BAJA,En observacion,2025-12-01T00:00:00Z,1,val
4,User_4,user4@example.com,hash,2621.48,38.63,NINGUNA,En observacion,2025-12-01T00:00:00Z,1,train
5,User_5,user5@example.com,hash,3598.22,47.25,NINGUNA,En riesgo,2025-12-01T00:00:00Z,1,train
6,User_6,user6@example.com,hash,2388.54,21.38,BAJA,En observacion,2025-12-01T00:00:00Z,1,train
7,User_7,user7@example.com,hash,3681.97,25.56,NINGUNA,En riesgo,2025-12-01T00:00:00Z,1,train
8,User_8,user8@example.com,hash,3891.88,26.83,ALTA,Saludable,2025-12-01T00:00:00Z,1,train
9,User_9,user9@example.com,hash,4256.88,26.0,MEDIA,En observacion,2025-12-01T00:00:00Z,1,val
10,User_10,user10@example.com,hash,2129.24,25.97,NINGUNA,En riesgo,2025-12-01T00:00:00Z,1,val
11,User_11,user11@example.com,hash,2285.82,27.0,BAJA,En observacion,2025-12-01T00:00:00Z,1,train
12,User_12,user12@example.com,hash,5941.09,47.34,MEDIA,En observacion,2025-12-01T00:00:00Z,1,train
13,User_13,user13@example.com,hash,3174.63,76.67,BAJA,En riesgo,2025-12-01T00:00:00Z,1,test
14,User_14,user14@example.com,hash,2628.67,46.08,MEDIA,En observacion,2025-12-01T00:00:00Z,1,train
15,User_15,user15@example.com,hash,2065.24,19.86,ALTA,Saludable,2025-12-01T00:00:00Z,1,train
16,User_16,user16@example.com,hash,3015.56,28.09,MEDIA,En observacion,2025-12-01T00:00:00Z,1,train
17,User_17,user17@example.com,hash,3054.35,18.04,NINGUNA,En observacion,2025-12-01T00:00:00Z,1,val
18,User_18,user18@example.com,hash,5197.58,24.85,NINGUNA,En observacion,2025-12-01T00:00:00Z,1,test
19,User_19,user19@example.com,hash,1116.06,43.73,ALTA,En observacion,2025-12-01T00:00:00Z,1,train
20,User_20,user20@example.com,hash,4805.08,22.41,MEDIA,Saludable,2025-12-01T00:00:00Z,1,val
21,User_21,user21@example.com,hash,5584.58,12.38,MEDIA,Saludable,2025-12-01T00:00:00Z,1,train
22,User_22,user22@example.com,hash,1872.27,18.4,NINGUNA,En observacion,2025-12-01T00:00:00Z,1,train
23,User_23,user23@example.com,hash,4808.06,47.52,BAJA,En observacion,2025-12-01T00:00:00Z,1,val
24,User_24,user24@example.com,hash,3739.06,40.42,NINGUNA,En riesgo,2025-12-01T00:00:00Z,1,test
25,User_25,user25@example.com,hash,4968.01,57.43,NINGUNA,En riesgo,2025-12-01T00:00:00Z,1,train
26,User_26,user26@example.com,hash,3816.76,5.0,ALTA,Saludable,2025-12-01T00:00:00Z,1,train
27,User_27,user27@example.com,hash,1478.11,13.72,MEDIA,En observacion,2025-12-01T00:00:00Z,1,train
28,User_28,user28@example.com,hash,3870.91,31.7,MEDIA,En observacion,2025-12-01T00:00:00Z,1,train
29,User_29,user29@example.com,hash,3524.86,23.16,MEDIA,En observacion,2025-12-01T00:00:00Z,1,val
30,User_30,user30@example.com,hash,1980.07,22.87,NINGUNA,En observacion,2025-12-01T00:00:00Z,1,train
31,User_31,user31@example.com,hash,6127.37,42.52,BAJA,En observacion,2025-12-01T00:00:00Z,1,train
32,User_32,user32@example.com,hash,5643.97,27.05,BAJA,En observacion,2025-12-01T00:00:00Z,1,train
33,User_33,user33@example.com,hash,5803.11,55.58,ALTA,Saludable,2025-12-01T00:00:00Z,1,train
34,User_34,user34@example.com,hash,5831.24,24.47,BAJA,En observacion,2025-12-01T00:00:00Z,1,train
35,User_35,user35@example.com,hash,2830.6,54.11,NINGUNA,En riesgo,2025-12-01T00:00:00Z,1,train
36,User_36,user36@example.com,hash,5568.05,35.08,NINGUNA,En observacion,2025-12-01T00:00:00Z,1,val
37,User_37,user37@example.com,hash,3548.62,29.07,ALTA,Saludable,2025-12-01T00:00:00Z,1,train
38,User_38,user38@example.com,hash,3271.33,32.58,BAJA,En observacion,2025-12-01T00:00:00Z,1,test
