id,nombre,ingreso_mensual,nivel_endeudamiento,frecuencia_ahorro,perfil_financiero
1,Feliciana,2810.89,21.9,Baja,En observacion
2,Dani,4827.5,19.74,Media,Saludable
3,Amador,4061.98,20.65,Media,Saludable
4,Manuela,3595.3,22.54,Media,En observacion
5,Leonardo,2046.07,27.04,Baja,En riesgo
6,Jose Ignacio,2045.98,27.44,Baja,En riesgo
7,Jacinto,1703.29,28.51,Media,En riesgo
8,Emilio,4531.62,19.95,Media,Saludable
9,Maite,3603.9,20.14,Media,Saludable
10,Cristian,3978.25,18.98,Media,Saludable
11,Inmaculada,1572.05,30.41,Media,En riesgo
12,Manu,4894.68,17.26,Baja,En observacion
13,Tecla,4413.55,18.61,Baja,En observacion
14,Caridad,2243.19,25.89,Baja,En observacion
15,Chucho,2136.39,26.83,Media,En riesgo
16,Dominga,2141.92,24.08,Media,En observacion
17,Telmo,2564.85,25.43,Media,En observacion
18,Amílcar,3336.65,20.14,Baja,En observacion
19,Amor,3011.81,22.34,Media,En observacion
20,Ciro,2519.3,26.92,Baja,En riesgo
21,Isaías,3641.49,19.47,Baja,En observacion
22,Joan,1988.23,26.33,Media,En riesgo
23,Anselma,2522.51,23.59,Baja,En observacion
24,Eligia,2782.27,24.07,Media,En observacion
25,Amando,3096.24,23.42,Media,En observacion
26,Chelo,4248.12,18.78,Baja,En observacion
27,Heliodoro,2198.86,25.74,Baja,En observacion
28,Lilia,3299.82,22.68,Media,En observacion
29,Florentina,3573.45,21.21,Media,Saludable
30,Judith,1662.58,30.06,Media,En riesgo
31,Caridad,3626.41,21.77,Media,Saludable
32,Simón,2096.83,26.95,Media,En riesgo
33,Isidro,1727.68,32.46,Media,En riesgo
34,Vidal,4821.1,18.14,Baja,En observacion
35,Dolores,4879.71,17.8,Media,Saludable
36,Leopoldo,4329.39,18.51,Baja,En observacion
37,Nydia,2566.15,25.59,Baja,En observacion
38,Ruth,1841.85,28.13,Baja,En riesgo
39,Adolfo,3894.82,20.76,Baja,En observacion
40,Martina,3040.53,22.37,Baja,En observacion
41,Noelia,1927.13,27.49,Media,En riesgo
42,Feliciano,3233.12,23.87,Media,En observacion
43,José,1620.36,29.67,Media,En riesgo
44,Telmo,4682.62,16.89,Media,Saludable
45,Noé,2405.73,23.68,Media,En observacion
46,Leopoldo,3818.83,20.75,Media,Saludable
47,Fabricio,2590.99,22.84,Baja,En observacion
48,Ildefonso,3320.24,20.78,Media,Saludable
49,María Carmen,3413.49,22.09,Media,En observacion
50,Nicodemo,2146.99,25.06,Media,En observacion
51,Cristian,4893.55,18.91,Media,Saludable
52,Cirino,4212.96,19.91,Media,Saludable
53,Ricardo,4788.25,18.81,Baja,En observacion
54,Cleto,4631.9,18.13,Media,Saludable
55,Plinio,3592.65,19.76,Media,Saludable
56,Rebeca,4726.56,19.5,Media,Saludable
57,Omar,1809.72,30.05,Media,En riesgo
58,Elisabet,2185.94,26.09,Media,En riesgo
59,Juan Luis,1658.3,27.55,Baja,En riesgo
60,Noemí,2638.66,23.64,Baja,En observacion
61,Armando,2860.37,23.09,Baja,En observacion
62,Luna,2449.72,26.2,Media,En riesgo
63,Ángel,4400.58,18.28,Baja,En observacion
64,Brunilda,2748.64,23.7,Media,En observacion
65,Edelmiro,2483.27,23.04,Baja,En observacion
66,Ágata,3399.44,20.82,Baja,En observacion
67,Reyes,1993.23,25.87,Media,En observacion
68,Cayetano,4307.69,18.54,Media,Saludable
69,Carmina,1760.93,29.64,Baja,En riesgo
70,Lázaro,4954.1,18.76,Media,Saludable
71,Paula,4202.86,22.08,Baja,En observacion
72,Eusebia,2195.5,27.24,Media,En riesgo
73,Esperanza,1519.33,33.65,Baja,En riesgo
74,Sonia,4354.11,17.86,Baja,En observacion
75,Rosalva,3974.0,20.41,Media,Saludable
76,Porfirio,4051.53,20.99,Media,Saludable
77,Crescencia,4199.45,18.04,Media,Saludable
78,Gregorio,1759.16,30.07,Media,En riesgo
79,Julie,2754.63,21.64,Media,Saludable
80,Buenaventura,1905.54,29.52,Media,En riesgo
81,Artemio,4520.86,18.59,Media,Saludable
82,Gisela,3681.54,21.24,Media,Saludable
83,Javier,2658.14,21.12,Media,Saludable
84,María Teresa,1722.45,30.97,Media,En riesgo
